lorry;Alex;грузовик;грузовой автомобиль
arrange;Alex;договариваться;приводить в порядок
supporter;Alex;сторонник;приверженец
invitation;Alex;приглашение;стимул
column;Alex;столбец;колонна
impact;Alex;воздействие;влияние
remote;Alex;отдалённый;дистанционный
leaf;Alex;лист;страница
bin;Alex;мусорное ведро;контейнер
ambitious;Alex;целеустремлённый;амбициозный
statement;Alex;заявление;утверждение
claim;Alex;требовать;утверждение
issue;Alex;вопрос;проблема
appearance;Alex;наружность;внешний вид
fairly;Alex;весьма;довольно
unit;Alex;единица;блок
continuous;Alex;непрерывный;постоянный
employ;Alex;нанимать;использовать
aspect;Alex;аспект;сторона
supply;Alex;доставлять;поставлять
commercial;Alex;рекламный ролик;коммерческий
anxious;Alex;озабоченный;беспокоящийся
persuade;Alex;убеждать;уговорить
originally;Alex;первоначально;изначально
cheat;Alex;мошенничать;обманывать
investigate;Alex;исследовать;расследовать
approach;Alex;подход;метод
commitment;Alex;обязательство;ответственное отношение
certainly;Alex;конечно;непременно
attitude;Alex;отношение;позиция
solid;Alex;твердый;цельный
confidence;Alex;уверенность;доверие
state;Alex;состояние;заявлять
setting;Alex;место действия;окружающая обстановка
possession;Alex;владение;собственность
favourite;Alex;любимый;любимец
effect;Alex;влияние;результат
conclusion;Alex;заключение;вывод
particular;Alex;конкретный;данный
express;Alex;выражать;высказывать
percentage;Alex;процентное содержание;процент
revise;Alex;проверять;исправлять
feature;Alex;Функция;особенность
bride;Alex;невеста;новобрачная невеста
favour;Alex;одолжение;благосклонность
contemporary;Alex;современный;современник
impressive;Alex;выразительный;впечатляющий
researcher;Alex;исследователь;научный сотрудник
ashamed;Alex;пристыженный;пристыжённый
slightly;Alex;слегка;немного
gather;Alex;собираться;скапливаться
primary;Alex;первичный;основной
apparent;Alex;очевидный;несомненный
mild;Alex;умеренный;мягкий
clause;Alex;пункт;предложение
direct;Alex;прямой;непосредственный
achieve;Alex;достигать;добиваться
cite;Alex;цитировать;ссылаться
determined;Alex;решительный;принявший решение
attach;Alex;прикреплять;прикладывать
earn;Alex;зарабатывать;заслуживать
particularly;Alex;особенно;особым образом
anniversary;Alex;годовщина;юбилей
apply;Alex;применять;использовать
frequently;Alex;часто;зачастую
associated;Alex;связанный;объединенный
branch;Alex;ветвь;отделение, филиал
intelligence;Alex;интеллект;рассудок
apologize;Alex;извиняться;приносить извинения
discovery;Alex;открытие;обнаружение
department;Alex;отдел;ведомство
incredible;Alex;потрясающий;неправдоподобный
annoying;Alex;надоедливый;раздражающий
cotton;Alex;хлопок;вата
assess;Alex;оценивать;
appointment;Alex;условленная встреча;свидание
cloth;Alex;ткань;полотно
sensible;Alex;здравомыслящий;разумный
disagree;Alex;не соглашаться;противоречить
basis;Alex;основание;основа
prove;Alex;доказывать;пробовать
authority;Alex;власть;авторитет
promote;Alex;продвигать;способствовать
manner;Alex;способ;метод
included;Alex;включенный;содержащий
medium;Alex;средний;среда
equally;Alex;одинаково;в равной степени
marriage;Alex;брак;свадьба
apparently;Alex;вероятно;по-видимому
nearly;Alex;почти;близко
environmental;Alex;экологический;
trousers;Alex;брюки;штаны
disease;Alex;болезнь;заболевание
backwards;Alex;в обратном направлении;назад
prepare;Alex;готовить;подготавливать
indirect;Alex;косвенный;не прямой
ordinary;Alex;обычный;обыкновенный
assistant;Alex;помощник;ассистент
similar;Alex;похожий;подобный
shift;Alex;перемещение;сдвиг
admit;Alex;допускать;признавать
smooth;Alex;гладкий;ровный
certain;Alex;точный;определённый
consumer;Alex;потребитель;клиент
disappear;Alex;исчезать;пропадать
pollution;Alex;загрязнение (экологическое);
fair;Alex;честный;справедливый
apart;Alex;отдельно;в стороне
indeed;Alex;действительно;в самом деле
announcement;Alex;объявление;сообщение
brand;Alex;марка;клеймо
immediately;Alex;немедленно;тотчас же
eventually;Alex;в конечном итоге;в итоге
consistent;Alex;последовательный;стойкий
response;Alex;ответ;реакция
consider;Alex;рассматривать;обсуждать
stress;Alex;ударение;подчёркивать
advanced;Alex;продвинутый;передовой
thief;Alex;вор;похититель
vehicle;Alex;транспортное средство;автомобиль
contribute;Alex;делать вклад;способствовать
assignment;Alex;назначение;задание
technique;Alex;техника;технические приёмы
comparison;Alex;сравнение;сопоставление
determine;Alex;определять;решать
competitive;Alex;соперничающий;конкурирующий
generous;Alex;великодушный;щедрый
bill;Alex;счёт;законопроект
force;Alex;сила;заставлять
suffer;Alex;страдать;терпеть
direction;Alex;направление;указание
definitely;Alex;определенно;безусловно
tidy;Alex;опрятный;аккуратный
assist;Alex;помогать;содействовать
beyond;Alex;за;по ту сторону
attend;Alex;посещать;присутствовать
brilliant;Alex;блестящий;замечательный
whenever;Alex;всякий раз когда;всякий раз
tin;Alex;жестяная банка;консерва
jewellery;Alex;драгоценности;ювелирные изделия
package;Alex;пакет;упаковка
disaster;Alex;катастрофа;несчастье
require;Alex;требовать;нуждаться
proper;Alex;правильный;должный
arrangement;Alex;договорённость;соглашение
disadvantage;Alex;недостаток;неудобство
appeal;Alex;обращение;призыв
queue;Alex;очередь;стоять в очереди
compete;Alex;состязаться;соревноваться
approximately;Alex;примерно;приблизительно
advertisement;Alex;реклама;объявление
occur;Alex;происходить;случаться
disappointed;Alex;разочарованный;разочаровавшийся
disappointing;Alex;разочаровывающий;неутешительный
collapse;Alex;рушиться;обваливаться
associate;Alex;ассоциировать;партнёр
strength;Alex;сила;прочность
flour;Alex;мука;пудра
necessarily;Alex;обязательно;непременно
chart;Alex;диаграмма;график
assume;Alex;предполагать;допускать
complaint;Alex;жалоба;недовольство
generally;Alex;как правило;обычно
substance;Alex;содержание;вещество
recipe;Alex;рецепт;средство
quantity;Alex;количество;величина
keen;Alex;заядлый;острый
cruel;Alex;жестокий;мучительный
item;Alex;вещь, предмет;пункт
achievement;Alex;достижение;успех
rather;Alex;скорее всего;лучше
term;Alex;срок;определённый период
due;Alex;в связи с;обусловленный
average;Alex;средний;обычный
confident;Alex;самоуверенный;уверенный
reason;Alex;причина;основание
scientific;Alex;научный;высокого класса
conduct;Alex;проводить;вести
admire;Alex;восхищаться;обожать
definite;Alex;определённый;точный
plot;Alex;сюжет;содержание
volunteer;Alex;доброволец;волонтёр
effort;Alex;усилие;попытка
property;Alex;имущество;свойство
indicate;Alex;указывать;показывать
occasion;Alex;случай;возможность
consequence;Alex;последствие;следствие
task;Alex;задача;задание
reduce;Alex;уменьшать, сокращать;уменьшать
meanwhile;Alex;тем временем;между тем
conclude;Alex;заключать;выводить заключение
specifically;Alex;конкретно;а именно
performance;Alex;представление;эффективность
servant;Alex;слуга;прислуга
aware;Alex;осведомлённый;знающий
suppose;Alex;предполагать;допускать
current;Alex;текущий;теперешний
encourage;Alex;поощрять;поддерживать
politician;Alex;политик;политический деятель
convince;Alex;убеждать;уверять
commit;Alex;совершать;
pot;Alex;горшок;банка, котел
ankle;Alex;лодыжка;щиколотка
during;Alex;во время;в течение
command;Alex;владение;управлять
secretary;Alex;секретарь;
purpose;Alex;цель;намерение
flood;Alex;наводнение;поток
crowded;Alex;переполненный;битком набитый
terrible;Alex;ужасный;внушающий страх
basically;Alex;в основном;по существу
comfort;Alex;утешение;удобства
confirm;Alex;подтверждать;подкреплять
report;Alex;сообщать;доклад
fortunately;Alex;к счастью;счастливо
invention;Alex;изобретение;выдумка
assessment;Alex;оценка;аттестация
realize;Alex;осознавать;понимать
expression;Alex;выразительность;выражение
